,facility type,category,month,qty out
0,county,alt. gowns,9.0,200.0
1,county,disinfectant,5.0,60.0
2,county,disinfectant,7.0,55.0
3,county,disinfectant,8.0,6.0
4,county,face shield,4.0,1344.0
5,county,face shield,6.0,10.0
6,county,face shield,9.0,1000.0
7,county,gloves,4.0,42000.0
8,county,gloves,6.0,1000.0
9,county,gloves,7.0,9000.0
10,county,gloves,8.0,100.0
11,county,gloves,9.0,36200.0
12,county,gowns,4.0,2358.0
13,county,gowns,8.0,500.0
14,county,gowns,9.0,1800.0
15,county,hand sanitizer,5.0,20.0
16,county,hand sanitizer,6.0,10.0
17,county,hand sanitizer,8.0,48.0
18,county,hand sanitizer,9.0,24.0
19,county,kn95,5.0,3000.0
20,county,kn95,6.0,1000.0
21,county,misc,6.0,18.0
22,county,misc,8.0,60.0
23,county,misc,9.0,630.0
24,county,n95,3.0,570.0
25,county,n95,4.0,1440.0
26,county,n95,7.0,2600.0
27,county,reusable masks,5.0,10000.0
28,county,reusable masks,6.0,1350.0
29,county,reusable masks,8.0,500.0
30,county,stat paq,3.0,2.0
31,county,surgical mask,3.0,19200.0
32,county,surgical mask,4.0,13850.0
33,county,surgical mask,5.0,5000.0
34,county,surgical mask,6.0,4050.0
35,county,surgical mask,7.0,10000.0
36,county,testing supplies,8.0,3000.0
37,county,testing supplies,9.0,4000.0
38,county,thermometers,3.0,350.0
39,county,thermometers,4.0,322.0
40,county,thermometers,7.0,300.0
41,county,thermometers,8.0,100.0
42,ems/fire/law enforcement,alt. gowns,6.0,1000.0
43,ems/fire/law enforcement,disinfectant,8.0,15.0
44,ems/fire/law enforcement,disinfectant,9.0,62.0
45,ems/fire/law enforcement,face shield,4.0,1608.0
46,ems/fire/law enforcement,face shield,6.0,200.0
47,ems/fire/law enforcement,face shield,7.0,600.0
48,ems/fire/law enforcement,gloves,3.0,14000.0
49,ems/fire/law enforcement,gloves,4.0,19800.0
50,ems/fire/law enforcement,gloves,5.0,1000.0
51,ems/fire/law enforcement,gloves,6.0,1200.0
52,ems/fire/law enforcement,gloves,7.0,16900.0
53,ems/fire/law enforcement,goggles,5.0,704.0
54,ems/fire/law enforcement,goggles,6.0,444.0
55,ems/fire/law enforcement,goggles,7.0,400.0
56,ems/fire/law enforcement,gowns,3.0,110.0
57,ems/fire/law enforcement,gowns,4.0,2652.0
58,ems/fire/law enforcement,gowns,5.0,760.0
59,ems/fire/law enforcement,gowns,6.0,1000.0
60,ems/fire/law enforcement,hand sanitizer,5.0,5.0
61,ems/fire/law enforcement,hand sanitizer,9.0,48.0
62,ems/fire/law enforcement,kn95,7.0,80080.0
63,ems/fire/law enforcement,n95,3.0,3578.0
64,ems/fire/law enforcement,n95,4.0,7000.0
65,ems/fire/law enforcement,n95,5.0,2700.0
66,ems/fire/law enforcement,n95,6.0,200.0
67,ems/fire/law enforcement,n95,7.0,1900.0
68,ems/fire/law enforcement,n95,10.0,400.0
69,ems/fire/law enforcement,reusable masks,5.0,6000.0
70,ems/fire/law enforcement,stat paq,3.0,141.0
