,facility type,category,month,qty out
0,Fqhc/community center,face shield,10,300.0
1,Fqhc/community center,gloves,10,3000.0
2,Fqhc/community center,gowns,10,300.0
3,Fqhc/community center,surgical mask,10,3500.0
4,Fqhc/community health center,face shield,10,900.0
5,Fqhc/community health center,gloves,10,6000.0
6,Fqhc/community health center,gowns,10,10.0
7,Fqhc/community health center,n95,10,400.0
8,Fqhc/community health center,n95,11,700.0
9,Fqhc/community health center,surgical mask,10,500.0
10,Home health,face shield,10,820.0
11,Home health,gloves,10,2200.0
12,Home health,gowns,10,160.0
13,Home health,n95,10,560.0
14,Home health,surgical mask,10,2250.0
15,Home health,testing supplies,10,400.0
16,Hospital,face shield,10,1200.0
17,Hospital,face shield,11,250.0
18,Hospital,gloves,10,6600.0
19,Hospital,gloves,11,4100.0
20,Hospital,gowns,10,320.0
21,Hospital,gowns,11,250.0
22,Hospital,n95,10,340.0
23,Hospital,n95,11,920.0
24,Hospital,surgical mask,10,6000.0
25,Hospital,surgical mask,11,1450.0
26,Hospital,testing supplies,10,160.0
27,Hospital,testing supplies,11,200.0
28,Mc,gloves,11,4000.0
29,Mc,hand sanitizer,11,24.0
30,Mc,surgical mask,11,2000.0
31,Medical,face shield,1,50.0
32,Medical,face shield,11,180.0
33,Medical,face shield,12,20.0
34,Medical,gloves,1,41400.0
35,Medical,gloves,11,5200.0
36,Medical,gloves,12,11900.0
37,Medical,gowns,1,3400.0
38,Medical,gowns,11,600.0
39,Medical,gowns,12,1230.0
40,Medical,n95,1,630.0
41,Medical,n95,11,500.0
42,Medical,n95,12,990.0
43,Medical,other,1,200.0
44,Medical,sanitizer,12,18.0
45,Medical,surgical mask,1,1900.0
46,Medical,surgical mask,11,3300.0
47,Medical,surgical mask,12,1500.0
48,Medical,t,1,960.0
49,Medical,test,1,129990.0
50,Medical,test,11,480.0
51,Medical,test,12,5750.0
52,Medical,thermometer,1,6.0
53,Medical,thermometer,11,10.0
54,Pod,disinfectant,12,40.0
55,Pod,face shield,12,250.0
56,Pod,gloves,12,9000.0
57,Pod,surgical mask,12,3200.0
58,county,disinfectant,5,60.0
59,county,disinfectant,7,55.0
60,county,disinfectant,8,6.0
61,county,face shield,4,1344.0
62,county,face shield,6,10.0
63,county,face shield,9,1000.0
64,county,gloves,4,42000.0
65,county,gloves,6,1000.0
66,county,gloves,7,9000.0
67,county,gloves,8,100.0
68,county,gloves,9,36200.0
69,county,gowns,4,2358.0
70,county,hand sanitizer,5,20.0
71,county,hand sanitizer,6,10.0
72,county,hand sanitizer,8,48.0
73,county,hand sanitizer,9,24.0
74,county,kn95,5,3000.0
75,county,kn95,6,1000.0
76,county,misc,6,18.0
77,county,misc,8,60.0
78,county,misc,9,630.0
79,county,n95,3,570.0
80,county,n95,4,1440.0
81,county,n95,7,2600.0
82,county,reusable masks,5,10000.0
83,county,reusable masks,6,1350.0
84,county,reusable masks,8,500.0
85,county,stat paq,3,2.0
86,county,surgical mask,3,19200.0
87,county,surgical mask,4,13850.0
88,county,surgical mask,5,5000.0
89,county,surgical mask,6,4050.0
90,county,surgical mask,7,10000.0
91,county,testing supplies,8,3000.0
92,county,testing supplies,9,4000.0
93,county,thermometers,3,350.0
94,county,thermometers,4,322.0
95,county,thermometers,7,300.0
96,county,thermometers,8,100.0
97,ems/fire/law enforcement,alt. gowns,6,1000.0
98,ems/fire/law enforcement,disinfectant,8,15.0
99,ems/fire/law enforcement,disinfectant,9,112.0
100,ems/fire/law enforcement,face shield,4,1608.0
101,ems/fire/law enforcement,face shield,6,200.0
102,ems/fire/law enforcement,face shield,7,600.0
103,ems/fire/law enforcement,gloves,3,14000.0
104,ems/fire/law enforcement,gloves,4,19800.0
105,ems/fire/law enforcement,gloves,5,1000.0
106,ems/fire/law enforcement,gloves,6,1200.0
107,ems/fire/law enforcement,gloves,7,16900.0
108,ems/fire/law enforcement,gloves,9,1000.0
109,ems/fire/law enforcement,goggles,5,704.0
110,ems/fire/law enforcement,goggles,6,444.0
111,ems/fire/law enforcement,goggles,7,400.0
112,ems/fire/law enforcement,gowns,3,110.0
113,ems/fire/law enforcement,gowns,4,2652.0
114,ems/fire/law enforcement,gowns,5,760.0
115,ems/fire/law enforcement,gowns,6,1000.0
116,ems/fire/law enforcement,hand sanitizer,5,5.0
117,ems/fire/law enforcement,hand sanitizer,9,48.0
118,ems/fire/law enforcement,kn95,7,80080.0
119,ems/fire/law enforcement,n95,3,3578.0
120,ems/fire/law enforcement,n95,4,7000.0
121,ems/fire/law enforcement,n95,5,2700.0
122,ems/fire/law enforcement,n95,6,200.0
123,ems/fire/law enforcement,n95,7,1900.0
124,ems/fire/law enforcement,n95,10,400.0
125,ems/fire/law enforcement,reusable masks,5,6000.0
126,ems/fire/law enforcement,stat paq,3,141.0
127,ems/fire/law enforcement,surgical mask,3,550.0
128,ems/fire/law enforcement,surgical mask,4,16050.0
129,ems/fire/law enforcement,surgical mask,5,1000.0
130,ems/fire/law enforcement,surgical mask,6,500.0
131,ems/fire/law enforcement,surgical mask,9,2000.0
132,ems/fire/law enforcement,testing supplies,7,120.0
133,ems/fire/law enforcement,testing supplies,8,10.0
134,fqhc/community health center,face shield,7,5000.0
135,fqhc/community health center,face shield,10,40.0
136,fqhc/community health center,face shield,12,80.0
137,fqhc/community health center,gloves,3,600.0
138,fqhc/community health center,gloves,10,10000.0
139,fqhc/community health center,gloves,12,1500.0
140,fqhc/community health center,goggles,7,960.0
141,fqhc/community health center,gowns,7,7200.0
142,fqhc/community health center,gowns,10,40.0
143,fqhc/community health center,gowns,12,160.0
144,fqhc/community health center,n95,3,720.0
145,fqhc/community health center,n95,7,200.0
146,fqhc/community health center,n95,10,400.0
147,fqhc/community health center,n95,12,40.0
