category,qty out
gloves,7941727.0
surgical mask,2564204.0
testing supplies,1058731.0
gown,738915.0
n95,695688.0
face shield,406845.0
reusable masks,334365.0
misc,260718.0
literature,214280.0
kn95,187850.0
needle,98000.0
sanitizer,63084.0
alt. gowns,61537.0
other,38548.0
disinfectants,19126.0
goggles,14470.0
syringes,12300.0
ventilator supplies,4094.0
thermometer,1361.0
ponchos,709.0
vests,578.0
hand warmers,504.0
caps,400.0
filters,360.0
stat paq,343.0
safety,310.0
sheet,290.0
container,260.0
coveralls,200.0
bag,200.0
batteries,120.0
vaccine,100.0
ancillary kits,100.0
ipad,70.0
radios,20.0
canopy,5.0
cradle,3.0
