category,qty out
gloves,1991650.0
surgical mask,1134045.0
gowns,401355.0
n95,374316.0
reusable masks,333015.0
kn95,187850.0
face shield,175256.0
other items,91648.0
testing supplies,77101.0
alt. gowns,32057.0
sanitizer,29096.0
reusable cloth face covering,22500.0
goggles,11900.0
disposable masks,6000.0
hand sanitizer,5326.0
misc,1838.0
thermometers,1072.0
coveralls,1000.0
disinfectant,640.0
masks,625.0
stat paq,343.0
sheet,290.0
container,260.0
powered air-purifying respirator (papr),175.0
thermometer,104.0
ventilators,60.0
