,category,qty out,release date,year,week
1,surgical mask,200.0,2020-10-12,2020,42
2,surgical mask,3100.0,2020-12-22,2020,52
3,surgical mask,500.0,2020-12-23,2020,52
4,surgical mask,80.0,2020-10-09,2020,41
5,surgical mask,100.0,2020-12-28,2020,53
6,surgical mask,800.0,2020-12-28,2020,53
19,surgical mask,5000.0,2020-10-05,2020,41
20,surgical mask,600.0,2020-09-03,2020,36
21,surgical mask,3000.0,2020-09-08,2020,37
22,surgical mask,1500.0,2020-09-08,2020,37
23,surgical mask,1000.0,2020-09-08,2020,37
24,surgical mask,100.0,2020-09-08,2020,37
25,surgical mask,500.0,2020-09-08,2020,37
26,surgical mask,2000.0,2020-09-10,2020,37
27,surgical mask,2700.0,2020-09-14,2020,38
28,surgical mask,2500.0,2020-09-15,2020,38
29,surgical mask,50.0,2020-09-15,2020,38
30,surgical mask,1200.0,2020-09-21,2020,39
31,surgical mask,2500.0,2020-09-21,2020,39
32,surgical mask,1000.0,2020-09-22,2020,39
33,surgical mask,1700.0,2020-09-23,2020,39
34,surgical mask,150.0,2020-09-24,2020,39
35,surgical mask,100.0,2020-09-28,2020,40
36,surgical mask,900.0,2020-09-28,2020,40
37,surgical mask,2500.0,2020-10-01,2020,40
38,surgical mask,1500.0,2020-10-01,2020,40
39,surgical mask,100.0,2020-10-01,2020,40
40,surgical mask,1500.0,2020-10-01,2020,40
41,surgical mask,200.0,2020-10-05,2020,41
42,surgical mask,3500.0,2020-10-05,2020,41
43,surgical mask,200.0,2020-10-09,2020,41
44,surgical mask,3000.0,2020-10-19,2020,43
45,surgical mask,50.0,2020-10-20,2020,43
46,surgical mask,2000.0,2020-10-20,2020,43
47,surgical mask,200.0,2020-10-20,2020,43
48,surgical mask,400.0,2020-10-22,2020,43
49,surgical mask,1000.0,2020-10-22,2020,43
50,surgical mask,2000.0,2020-10-22,2020,43
51,surgical mask,500.0,2020-10-23,2020,43
52,surgical mask,10000.0,2020-10-23,2020,43
53,surgical mask,300.0,2020-10-23,2020,43
54,surgical mask,2000.0,2020-10-26,2020,44
55,surgical mask,250.0,2020-10-27,2020,44
56,surgical mask,1000.0,2020-10-27,2020,44
57,surgical mask,2000.0,2020-10-27,2020,44
58,surgical mask,1000.0,2020-10-27,2020,44
59,surgical mask,200.0,2020-10-27,2020,44
60,surgical mask,50.0,2020-10-27,2020,44
61,surgical mask,1000.0,2020-10-29,2020,44
62,surgical mask,600.0,2020-10-30,2020,44
63,surgical mask,2000.0,2020-11-10,2020,46
64,surgical mask,1000.0,2020-12-21,2020,52
65,surgical mask,50.0,2020-12-21,2020,52
66,surgical mask,1000.0,2020-12-22,2020,52
67,surgical mask,500.0,2020-12-22,2020,52
68,surgical mask,500.0,2020-12-22,2020,52
69,surgical mask,200.0,2020-12-22,2020,52
70,surgical mask,500.0,2020-12-22,2020,52
71,surgical mask,200.0,2020-12-22,2020,52
72,surgical mask,1000.0,2020-12-22,2020,52
73,surgical mask,1000.0,2020-12-22,2020,52
74,surgical mask,500.0,2021-01-06,2021,1
75,surgical mask,1600.0,2021-01-07,2021,1
76,surgical mask,200.0,2021-01-07,2021,1
77,surgical mask,50.0,2021-01-12,2021,2
78,surgical mask,3200.0,2021-01-12,2021,2
79,surgical mask,1000.0,2021-01-12,2021,2
80,surgical mask,2000.0,2021-01-13,2021,2
81,surgical mask,500.0,2021-01-13,2021,2
82,surgical mask,300.0,2021-01-13,2021,2
83,surgical mask,1500.0,2021-01-13,2021,2
84,surgical mask,500.0,2021-01-05,2021,1
85,surgical mask,200.0,2021-01-14,2021,2
86,surgical mask,2000.0,2021-01-14,2021,2
87,surgical mask,1800.0,2021-01-18,2021,3
88,surgical mask,200.0,2021-01-18,2021,3
89,surgical mask,1100.0,2021-01-19,2021,3
90,surgical mask,500.0,2021-01-19,2021,3
91,surgical mask,200.0,2021-01-19,2021,3
92,surgical mask,900.0,2021-01-19,2021,3
93,surgical mask,1000.0,2021-01-21,2021,3
94,surgical mask,1000.0,2021-01-21,2021,3
95,surgical mask,400.0,2021-01-25,2021,4
96,surgical mask,1000.0,2021-01-25,2021,4
97,surgical mask,300.0,2021-01-27,2021,4
104,surgical mask,1000.0,2020-07-09,2020,28
105,surgical mask,6000.0,2021-01-13,2021,2
106,surgical mask,3000.0,2021-01-14,2021,2
107,surgical mask,300.0,2021-01-14,2021,2
126,alt. gowns,1000.0,2020-06-24,2020,26
127,alt. gowns,500.0,2020-08-19,2020,34
133,goggles,100.0,2020-06-26,2020,26
134,goggles,2600.0,2020-08-20,2020,34
135,goggles,900.0,2020-12-31,2020,53
137,surgical mask,1000.0,2020-12-29,2020,53
138,surgical mask,3000.0,2020-12-29,2020,53
139,surgical mask,2500.0,2020-12-29,2020,53
140,surgical mask,600.0,2020-12-28,2020,53
159,surgical mask,36000.0,2020-10-30,2020,44
161,surgical mask,8000.0,2020-10-30,2020,44
162,surgical mask,1400.0,2020-10-30,2020,44
163,surgical mask,50.0,2020-11-03,2020,45
164,surgical mask,2000.0,2020-11-04,2020,45
165,surgical mask,1000.0,2020-11-09,2020,46
166,surgical mask,1000.0,2020-11-09,2020,46
167,surgical mask,200.0,2020-11-09,2020,46
168,surgical mask,600.0,2020-11-09,2020,46
169,surgical mask,600.0,2020-11-10,2020,46
170,surgical mask,2000.0,2020-11-13,2020,46
171,surgical mask,1200.0,2020-11-16,2020,47
172,surgical mask,200.0,2020-11-18,2020,47
173,surgical mask,300.0,2020-12-03,2020,49
174,surgical mask,8000.0,2020-12-07,2020,50
175,surgical mask,300.0,2020-12-07,2020,50
176,surgical mask,3000.0,2020-12-08,2020,50
177,surgical mask,500.0,2020-12-09,2020,50
178,surgical mask,1500.0,2020-12-14,2020,51
179,surgical mask,200.0,2020-12-15,2020,51
180,surgical mask,2000.0,2020-12-15,2020,51
181,surgical mask,300.0,2020-12-16,2020,51
182,surgical mask,1000.0,2020-12-17,2020,51
200,surgical mask,1400.0,2020-08-11,2020,33
201,surgical mask,1000.0,2020-08-12,2020,33
202,surgical mask,1500.0,2020-08-11,2020,33
203,surgical mask,3600.0,2020-08-27,2020,35
205,surgical mask,500.0,2020-10-15,2020,42
206,surgical mask,100.0,2020-10-27,2020,44
207,surgical mask,1000.0,2020-10-30,2020,44
