,category,qty out,release date,year,month,week,yaerweek
1,surgical mask,200.0,2020-10-12,2020,10,42,2020_42
2,surgical mask,3100.0,2020-12-22,2020,12,52,2020_52
3,surgical mask,500.0,2020-12-23,2020,12,52,2020_52
4,surgical mask,80.0,2020-10-09,2020,10,41,2020_41
5,surgical mask,100.0,2020-12-28,2020,12,53,2020_53
6,surgical mask,800.0,2020-12-28,2020,12,53,2020_53
19,surgical mask,5000.0,2020-10-05,2020,10,41,2020_41
20,surgical mask,600.0,2020-09-03,2020,9,36,2020_36
21,surgical mask,3000.0,2020-09-08,2020,9,37,2020_37
22,surgical mask,1500.0,2020-09-08,2020,9,37,2020_37
23,surgical mask,1000.0,2020-09-08,2020,9,37,2020_37
24,surgical mask,100.0,2020-09-08,2020,9,37,2020_37
25,surgical mask,500.0,2020-09-08,2020,9,37,2020_37
26,surgical mask,2000.0,2020-09-10,2020,9,37,2020_37
27,surgical mask,2700.0,2020-09-14,2020,9,38,2020_38
28,surgical mask,2500.0,2020-09-15,2020,9,38,2020_38
29,surgical mask,50.0,2020-09-15,2020,9,38,2020_38
30,surgical mask,1200.0,2020-09-21,2020,9,39,2020_39
31,surgical mask,2500.0,2020-09-21,2020,9,39,2020_39
32,surgical mask,1000.0,2020-09-22,2020,9,39,2020_39
33,surgical mask,1700.0,2020-09-23,2020,9,39,2020_39
34,surgical mask,150.0,2020-09-24,2020,9,39,2020_39
35,surgical mask,100.0,2020-09-28,2020,9,40,2020_40
36,surgical mask,900.0,2020-09-28,2020,9,40,2020_40
37,surgical mask,2500.0,2020-10-01,2020,10,40,2020_40
38,surgical mask,1500.0,2020-10-01,2020,10,40,2020_40
39,surgical mask,100.0,2020-10-01,2020,10,40,2020_40
40,surgical mask,1500.0,2020-10-01,2020,10,40,2020_40
41,surgical mask,200.0,2020-10-05,2020,10,41,2020_41
42,surgical mask,3500.0,2020-10-05,2020,10,41,2020_41
43,surgical mask,200.0,2020-10-09,2020,10,41,2020_41
44,surgical mask,3000.0,2020-10-19,2020,10,43,2020_43
45,surgical mask,50.0,2020-10-20,2020,10,43,2020_43
46,surgical mask,2000.0,2020-10-20,2020,10,43,2020_43
47,surgical mask,200.0,2020-10-20,2020,10,43,2020_43
48,surgical mask,400.0,2020-10-22,2020,10,43,2020_43
49,surgical mask,1000.0,2020-10-22,2020,10,43,2020_43
50,surgical mask,2000.0,2020-10-22,2020,10,43,2020_43
51,surgical mask,500.0,2020-10-23,2020,10,43,2020_43
52,surgical mask,10000.0,2020-10-23,2020,10,43,2020_43
53,surgical mask,300.0,2020-10-23,2020,10,43,2020_43
54,surgical mask,2000.0,2020-10-26,2020,10,44,2020_44
55,surgical mask,250.0,2020-10-27,2020,10,44,2020_44
56,surgical mask,1000.0,2020-10-27,2020,10,44,2020_44
57,surgical mask,2000.0,2020-10-27,2020,10,44,2020_44
58,surgical mask,1000.0,2020-10-27,2020,10,44,2020_44
59,surgical mask,200.0,2020-10-27,2020,10,44,2020_44
60,surgical mask,50.0,2020-10-27,2020,10,44,2020_44
61,surgical mask,1000.0,2020-10-29,2020,10,44,2020_44
62,surgical mask,600.0,2020-10-30,2020,10,44,2020_44
63,surgical mask,2000.0,2020-11-10,2020,11,46,2020_46
64,surgical mask,1000.0,2020-12-21,2020,12,52,2020_52
65,surgical mask,50.0,2020-12-21,2020,12,52,2020_52
66,surgical mask,1000.0,2020-12-22,2020,12,52,2020_52
67,surgical mask,500.0,2020-12-22,2020,12,52,2020_52
68,surgical mask,500.0,2020-12-22,2020,12,52,2020_52
69,surgical mask,200.0,2020-12-22,2020,12,52,2020_52
70,surgical mask,500.0,2020-12-22,2020,12,52,2020_52
71,surgical mask,200.0,2020-12-22,2020,12,52,2020_52
72,surgical mask,1000.0,2020-12-22,2020,12,52,2020_52
73,surgical mask,1000.0,2020-12-22,2020,12,52,2020_52
74,surgical mask,500.0,2021-01-06,2021,1,1,2021_1
75,surgical mask,1600.0,2021-01-07,2021,1,1,2021_1
76,surgical mask,200.0,2021-01-07,2021,1,1,2021_1
77,surgical mask,50.0,2021-01-12,2021,1,2,2021_2
78,surgical mask,3200.0,2021-01-12,2021,1,2,2021_2
79,surgical mask,1000.0,2021-01-12,2021,1,2,2021_2
80,surgical mask,2000.0,2021-01-13,2021,1,2,2021_2
81,surgical mask,500.0,2021-01-13,2021,1,2,2021_2
82,surgical mask,300.0,2021-01-13,2021,1,2,2021_2
83,surgical mask,1500.0,2021-01-13,2021,1,2,2021_2
84,surgical mask,500.0,2021-01-05,2021,1,1,2021_1
85,surgical mask,200.0,2021-01-14,2021,1,2,2021_2
86,surgical mask,2000.0,2021-01-14,2021,1,2,2021_2
87,surgical mask,1800.0,2021-01-18,2021,1,3,2021_3
88,surgical mask,200.0,2021-01-18,2021,1,3,2021_3
