,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,week_of_year
29,2020-03-06,Town of Gilbert,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,18.0,20.0,360,09
30,2020-03-06,Town of Gilbert,Ems,Kimberly Clark N95,Missing,n95,2.0,35.0,70,09
66,2020-03-06,City of Peoria,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,6.0,20.0,120,09
74,2020-03-11,Sun City Fire and Medical,Ems,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,3.0,50.0,150,10
103,2020-03-11,Sun City Fire and Medical,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,13.0,20.0,260,10
104,2020-03-11,Sun City Fire and Medical,Ems,Disposable Gowns [440511],Maricopa,gowns,5.0,10.0,50,10
111,2020-03-12,City of El Mirage,Ems,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,4.0,50.0,200,10
140,2020-03-12,City of El Mirage,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,6.0,20.0,120,10
141,2020-03-12,City of El Mirage,Ems,Disposable Gowns [440511],Maricopa,gowns,4.0,10.0,40,10
177,2020-03-12,Pacific Coast Hospice,Ltcf,N95 Mask Universal [84A-3844],Maricopa,n95,1.0,20.0,20,10
216,2020-03-13,Central Arizona Shelter Services,County,Digital Thermometer [415],Maricopa,thermometer,36.0,1.0,36,10
217,2020-03-13,Central Arizona Shelter Services,County,Oral Sheaths for Digital Thermometer [18-D50],Maricopa,thermometer,6.0,50.0,300,10
218,2020-03-13,Central Arizona Shelter Services,County,Digital Thermometer [155912],Maricopa,thermometer,14.0,1.0,14,10
222,2020-03-16,Arizona Fire and Medical Authority,Ems,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",Maricopa,surgical mask,2.0,50.0,100,11
251,2020-03-16,Arizona Fire and Medical Authority,Ems,N95 Mask Universal [84A-3844],Maricopa,n95,15.0,20.0,300,11
