,Delivered Date,Facility Name,Facility Type,Item Description,Product Source,Type,Units,QTY Per UOM,Total Amount,Cheat Sheet
34,2020-03-23 00:00:00,Chandler Fire Department,EMS,Stat paq,AZ/MasCache,Stat Paq,5.0,1.0,5,Good
35,2020-03-23 00:00:00,Chandler Fire Department,EMS,N-95 Respirators [HM5210],AZ/MasCache,N95,8.0,1.0,8,Good
108,2020-03-23 00:00:00,Parkland Memory Care,LTCF,Surgical Masks [48100],Maricopa,Surgical Masks,2.0,50.0,100,Good
116,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,70.0,50.0,3500,Good
122,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Impermeable coverall without integrated hood, Medium",SNS,Alt. Gowns,1.0,1.0,1,Good
123,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Impermeable coverall without integrated hood, Large",SNS,Alt. Gowns,1.0,1.0,1,Good
124,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
125,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
126,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Impermeable coverall without integrated hood, 3X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
127,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,13.0,30.0,390,Good
128,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,12.0,30.0,360,Good
129,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,19.0,18.0,342,Good
131,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,7.0,100.0,700,Good
134,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,4.0,100.0,400,Good
136,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gloves, non-latex (VINYL), Small",SNS,Gloves,6.0,100.0,600,Good
137,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,3.0,100.0,300,Good
140,2020-03-25 00:00:00,Abrazo Health,Acute Care,N95 Duck Bill Small,SNS,N95,1.0,35.0,35,Good
141,2020-03-25 00:00:00,Abrazo Health,Acute Care,N95 Duck Bill Reg,SNS,N95,1.0,35.0,35,Good
145,2020-03-25 00:00:00,Abrazo Health,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,95.0,30.0,2850,Good
153,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,7.0,50.0,350,Good
161,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
164,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,1.0,30.0,30,Good
165,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,1.0,30.0,30,Good
166,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,2.0,18.0,36,Good
167,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,1.0,100.0,100,Good
168,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,1.0,100.0,100,Good
169,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, (LATEX), Large",SNS,Gloves,1.0,100.0,100,Good
170,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, (NITRILE), Small",SNS,Gloves,1.0,100.0,100,Good
171,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,1.0,100.0,100,Good
172,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, (NITRILE), Large",SNS,Gloves,1.0,100.0,100,Good
173,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, non-latex (VINYL), Small",SNS,Gloves,1.0,100.0,100,Good
174,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,1.0,100.0,100,Good
175,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,1.0,100.0,100,Good
176,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Face Shield, Full Foam Top",SNS,Face Shield,6.0,24.0,144,Good
182,2020-03-25 00:00:00,AZ State Hospital,Acute Care,"Mask, N95 Particulate Respirator/Surgical, med/lg, NIOSH, 8210 ",SNS,N95,10.0,30.0,300,Good
190,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Mask, Standard Procedure, Yellow [Kimberly-Clark], One-Size",SNS,Surgical Masks,272.0,50.0,13600,Good
196,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Impermeable coverall without integrated hood, Medium",SNS,Alt. Gowns,3.0,1.0,3,Good
197,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Impermeable coverall without integrated hood, Large",SNS,Alt. Gowns,8.0,1.0,8,Good
198,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Impermeable coverall without integrated hood, X-Large",SNS,Alt. Gowns,8.0,1.0,8,Good
199,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Impermeable coverall without integrated hood, 2X-Large",SNS,Alt. Gowns,4.0,1.0,4,Good
200,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Impermeable coverall without integrated hood, 3X-Large",SNS,Alt. Gowns,1.0,1.0,1,Good
201,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gown, Surgical, Sterile, Large",SNS,Gowns,45.0,30.0,1350,Good
202,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gown, Surgical, Sterile, XL",SNS,Gowns,48.0,30.0,1440,Good
203,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gown, Surgical, Sterile, XXL",SNS,Gowns,80.0,18.0,1440,Good
204,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gloves, (LATEX), Small",SNS,Gloves,25.0,100.0,2500,Good
205,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gloves, (LATEX), Medium",SNS,Gloves,29.0,100.0,2900,Good
206,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gloves, (LATEX), Large",SNS,Gloves,38.0,100.0,3800,Good
208,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gloves, (NITRILE), Medium",SNS,Gloves,14.0,100.0,1400,Good
211,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gloves, non-latex (VINYL), Medium",SNS,Gloves,12.0,100.0,1200,Good
212,2020-03-25 00:00:00,Banner Hospital,Acute Care,"Gloves, non-latex (VINYL), Large",SNS,Gloves,36.0,100.0,3600,Good
